orgope,mpio_inegi,estado
Comisión Ciudadana de Agua Potable y Alcantarillado del Municipio de Aguascalientes (CCAPAMA),Aguascalientes,Aguascalientes
Sistema de Agua Potable y Alcantarillado de Asientos (SAPA),Asientos,Aguascalientes
Organismo Operador de Servicios de Agua de Calvillo (OOSAC),Calvillo,Aguascalientes
Comisión de Agua Potable Alcantarillado y Saneamiento del Municipio de Jesús María (CAPAS),Jesús María,Aguascalientes
Comisión Estatal de Servicios Públicos de Ensenada (CESPE),Ensenada,Baja California
Comisión Estatal de Servicios Públicos de Mexicali (CESPM),Mexicali,Baja California
Comisión Estatal de Servicios Públicos de Tecate (CESPTE),Tecate,Baja California
Comisión Estatal de Servicios Públicos de Tijuana (CESPT),Tijuana,Baja California
Organismo Operador Municipal del Sistema de Agua Potable Alcantarillado y Saneamiento de La Paz (OOMSAPAS),La Paz,Baja California Sur
Organismo Operador Municipal del Sistema de Agua Potable y Alcantarillado de Loreto (OOMSAPAL),Loreto,Baja California Sur
Organismo Operador Municipal del Sistema de Agua Potable Alcantarillado y Saneamiento de Los Cabos (OOMSAPAS),Los Cabos,Baja California Sur
Organismo Operador Municipal del Sistema de Agua Potable Alcantarillado y Saneamiento de Santa Rosalía Mulege (OOMSAPA),Mulegé,Baja California Sur
Sistema Municipal de Agua Potable y Alcantarillado de Campeche (SMAPAC),Campeche,Campeche
Sistema Municipal de Agua Potable y Alcantarillado de Carmen (SMAPAC),Carmen,Campeche
Comité de Agua Potable y Alcantarillado Municipal de Comitán de Domínguez (COAPAM),Comitán de Domínguez,Chiapas
Sistema de Agua Potable y Alcantarillado del Municipio de Palenque (SAPAM),Palenque,Chiapas
Sistema de Agua Potable y Alcantarillado Municipal de San Cristóbal de Las Casas (SAPAM),San Cristóbal de las Casas,Chiapas
Comité de Agua Potable y Alcantarillado de Tapachula (COAPATAP),Tapachula,Chiapas
Sistema Municipal de Agua Potable y Alcantarillado de Tuxtla (SMAPA),Tuxtla Gutiérrez,Chiapas
Junta Municipal de Agua y Saneamiento de Cd. Camargo (JMAS),Camargo,Chihuahua
Junta Municipal de Aguas y Saneamiento de Chihuahua (JMAS),Chihuahua,Chihuahua
Junta Municipal de Aguas y Saneamiento de Cuauhtémoc (JMAS),Cuauhtémoc,Chihuahua
Junta Municipal de Agua y Saneamiento de Delicias (JMAS),Delicias,Chihuahua
Junta Municipal de Agua y Saneamiento de Guachochi (JMAS),Guachochi,Chihuahua
Junta Municipal de Agua y Saneamiento de Hidalgo del Parral (JMAS),Hidalgo del Parral,Chihuahua
Junta Municipal de Agua y Saneamiento de Juárez (JMAS),Juárez,Chihuahua
Junta Municipal de Agua y Saneamiento de Meoqui (JMAS),Meoqui,Chihuahua
Junta Municipal de Agua y Saneamiento de Nuevo Casas Grandes (JMAS),Nuevo Casas Grandes,Chihuahua
Junta Municipal de Agua y Saneamiento de Ojinaga (JMAS),Ojinaga,Chihuahua
Junta Municipal de Agua y Saneamiento de Saucillo (JMAS),Saucillo,Chihuahua
Sistema Municipal de Aguas y Saneamiento de Acuña (SIMAS),Acuña,Coahuila
Sistema Municipal de Aguas y Saneamiento de Madero (SIMAS),Francisco I. Madero,Coahuila
Sistema Municipal de Aguas y Saneamiento de Matamoros (SIMAPA),Matamoros,Coahuila
Sistema Municipal de Aguas y Saneamiento de Frontera (SIMAS),Monclova,Coahuila
Sistema Municipal de Aguas y Saneamiento de Parras (SIMAS),Parras,Coahuila
Sistema Municipal de Aguas y Saneamiento de Piedras Negras (SIMAS),Piedras Negras,Coahuila
Sistema Municipal de Aguas y Saneamiento de Sabinas (SIMAS),Sabinas,Coahuila
Aguas de Saltillo (AGSAL),Saltillo,Coahuila
Sistema Municipal de Aguas y Saneamiento de San Pedro (SIMAS),San Pedro,Coahuila
Sistema Municipal de Aguas y Saneamiento de Torreón (SIMAS),Torreón,Coahuila
Comisión Intermunicipal de Agua Potable y Alcantarillado de Colima (CIAPACOV),Colima,Colima
Comisión de Agua Potable Drenaje y Alcantarillado de Manzanillo (CAPDAM),Manzanillo,Colima
Sistema de Aguas de La Ciudad de México (SACMEX),Ciudad de México,Distrito Federal
Aguas del Municipio de Durango (AMD),Durango,Durango
Sistema Descentralizado de Agua Potable y Alcantarillado de Gómez Palacio (SIDEAPA),Gómez Palacio,Durango
Sistema Descentralizado de Agua Potable  Alcantarillado y Saneamiento del Salto Pueblo Nuevo (SIDEAPAS),Pueblo Nuevo,Durango
Junta de Agua Potable Alcantarillado y Saneamiento del Municipio de Abasolo (JAPAMA),Abasolo,Guanajuato
Junta Municipal de Agua Potable y Alcantarillado de Acámbaro (JUMAPAA),Acámbaro,Guanajuato
Comité Municipal de Agua Potable y Alcantarillado de Apaseo El Alto (CMAPA),Apaseo el Alto,Guanajuato
Comité Municipal de Agua Potable y Alcantarillado de Apaseo El Grande (CMAPA),Apaseo el Grande,Guanajuato
Junta Municipal de Agua Potable y Alcantarillado de Celaya (JUMAPA),Celaya,Guanajuato
Junta de Agua Potable y Alcantarillado de Comonfort (JAPAC),Comonfort,Guanajuato
Junta Municipal de Agua Potable y Alcantarillados de Coroneo (JUMAPASC),Coroneo,Guanajuato
Junta Municipal de Agua Potable y Alcantarillado de Cortázar (JUMAPAC),Cortazar,Guanajuato
Dirección de Agua Potable y Alcantarillado de Cuerámaro (DAPAC),Cuerámaro,Guanajuato
Sistema de Agua Potable y Alcantarillado de Doctor Mora (SAPADM),Doctor Mora,Guanajuato
Sistema Municipal de Agua Potable Alcantarillado y Saneamiento de Dolores Hidalgo (SIMAPAS),Dolores Hidalgo Cuna de la Independencia Nacional,Guanajuato
Sistema Municipal de Agua Potable y Alcantarillado de Guanajuato (SIMAPAG),Guanajuato,Guanajuato
Sistema Municipal de Agua Potable y Alcantarillado del Municipio de Huanímaro (SMAPAH),Huanímaro,Guanajuato
Junta de Agua Potable y Alcantarillado de Irapuato (JAPAMI),Irapuato,Guanajuato
Sistema Municipal de Agua Potable y Alcantarillado de Jaral del Progreso (SMAPAJ),Jaral del Progreso,Guanajuato
Sistema Municipal de Agua Potable Alcantarillado y Saneamiento del Municipio de Jerécuaro (SMAPASMJ),Jerécuaro,Guanajuato
Sistema de Agua Potable y Alcantarillado de León (SAPAL),León,Guanajuato
Sistema Municipal de Agua Potable y Alcantarillado de Ciudad Manuel Doblado (SMAPA),Manuel Doblado,Guanajuato
Sistema Municipal de Agua Potable y Alcantarillado de Moroleón (SMAPAM),Moroleón,Guanajuato
Dirección de Agua Potable y Alcantarillado de Ocampo (SAPAO),Ocampo,Guanajuato
Comité Municipal de Agua Potable y Alcantarillado de Pénjamo (CMAPP),Pénjamo,Guanajuato
Sistema Municipal de Agua Potable y Alcantarillado de Purísima del Rincón (SAPAP),Purísima del Rincón,Guanajuato
Sistema Municipal de Agua Potable y Alcantarillado de Romita (SAPAR),Romita,Guanajuato
Comite Municipal de Agua Potable y Alcantarillado de Salamanca (CMAPAS),Salamanca,Guanajuato
Sistema Municipal de Agua Potable y Alcantarillado de Salvatierra (SMAPAS),Salvatierra,Guanajuato
Comité Municipal de Agua Potable y Alcantarillado de San Diego de La Unión (CMAPAS),San Diego de la Unión,Guanajuato
Junta Municipal de Agua Potable y Alcantarillado de San Felipe (JMAPA),San Felipe,Guanajuato
Sistema de Agua Potable y Alcantarillado de San Francisco del Rincón (SAPAF),San Francisco del Rincón,Guanajuato
Sistema Municipal de Agua Potable y Alcantarillado de José Iturbide (SMAPA),San José Iturbide,Guanajuato
Junta de Agua Potable y Alcantarillado de San Luis de La Paz (JAPASP),San Luis de la Paz,Guanajuato
Sistema de Agua Potable y Alcantarillado de San Miguel Allende (SAPASMA),San Miguel de Allende,Guanajuato
Sistema Municipal de Agua Potable y Alcantarillado de Santa Catarina (SMAPASC),Santa Catarina,Guanajuato
Comité Municipal de Agua Potable y Alcantarillado de Juventino Rosas (CMAPAJ),Santa Cruz de Juventino Rosas,Guanajuato
Sistema Municipal de Agua Potable y Alcantarillado de Santiago Maravatio (SMAPASM),Santiago Maravatío,Guanajuato
Sistema de Agua Potable y Alcantarillado de Silao (SAPAS),Silao,Guanajuato
Comité Municipal de Agua Potable de Tarandacuao (CMAPT),Tarandacuao,Guanajuato
Sistema Municipal de Agua Potable y Alcantarillado de Tarimoro (SAPAT),Tarimoro,Guanajuato
Sistema de Agua Potable y Alcantarillado de Tierra Blanca (SAPATP),Tierra Blanca,Guanajuato
Sistema Municipal de Agua Potable y Alcantarillado de Uriangato (SMAPAU),Uriangato,Guanajuato
Sistema de Agua Potable y Alcantarillado Municipal de Valle de Santiago (SAPAM),Valle de Santiago,Guanajuato
Dirección de Ecología Agua Potable Alcantarillado y Saneamiento del Municipio de Victoria (DEAPASMV),Victoria,Guanajuato
Junta Municipal de Agua Potable y Alcantarillado de Villagrán (JUMAPAV),Villagrán,Guanajuato
Sistema Municipal de Agua Potable y Alcantarillado de Yuriria (SMAPAY),Yuriria,Guanajuato
Comisión de Agua Potable y Alcantarillado de Acapulco (CAPAMA),Acapulco de Juárez,Guerrero
Comisión de Agua Potable y Alcantarillado de Chilpancingo (CAPACH),Chilpancingo de los Bravo,Guerrero
Comisión de Agua Potable y Alcantarillado del Municipio de Iguala (CAPAMI),Iguala de la Independencia,Guerrero
Comisión de Agua Potable y Alcantarillado de Taxco (CAPAT),Taxco de Alarcón,Guerrero
Comisión de Agua Potable y Alcantarillado de Zihuatanejo (CAPAZ),Zihuatanejo de Azueta,Guerrero
Comisión de Agua del Municipio de Huasca de Ocampo (COAMH),Huasca de Ocampo,Hidalgo
Comisión de Agua Potable Alcantarillado y Saneamiento de Huejutla de Reyes (CAPASHH),Huejutla de Reyes,Hidalgo
Comisión de Agua Potable Alcantarillado y Saneamiento del Municipio de Ixmiquilpan (CAPASMIH),Ixmiquilpan,Hidalgo
Comisión de Agua y Alcantarillado de Sistemas Intermunicipales Pachuca (CAASIM),Pachuca de Soto,Hidalgo
Comisión de Agua y Alcantarillado del Municipio de Tepeji del Río de Ocampo Hidalgo (CAAMTROH),Tepeji del Río de Ocampo,Hidalgo
Comisión de Agua y Alcantarillado del Municipio de Tulancingo de Bravo Hidalgo (CAAMT),Tulancingo de Bravo,Hidalgo
Sistema de Agua Potable Alcantarillado y Saneamiento del Municipio de Amacueca (SAPASA),Amacueca,Jalisco
Sistema de Agua Potable Alcantarillado y Saneamiento del Municipio de Arandas (SIMAPAAJ),Arandas,Jalisco
Sistema Municipal de Agua Potable y Alcantarillado de Chapala (SIMAPA),Chapala,Jalisco
Sistema Intermunicipal de Los Servicios de Agua Potable y Alcantarillado (SIAPA),Guadalajara,Jalisco
Sistema de Agua Potable y Alcantarillado Lagos de Moreno (SAPALAGOS),Lagos de Moreno,Jalisco
Sistema de Los Servicios de Agua Potable Drenaje y Alcantarillado de Puerto Vallarta (SEAPAL),Puerto Vallarta,Jalisco
Sistema de Agua Potable Alcantarillado y Saneamiento del Municipio de San Miguel El Alto (SAPASMA),San Miguel el Alto,Jalisco
Dirección de Agua Potable Drenaje y Alcantarillado (DAPA),Tlaquepaque,Jalisco
Sistema de Agua Potable Alcantarillado y Saneamiento del Municipio de Unión de Tula (OSIAPA),Unión de Tula,Jalisco
